NAME	ADRESSE	PLZ	STADTTEIL	RECHTSWERT	HOCHWERT	HOMEPAGE
Sonnenschein	Goebenstraße 16	48151	Geist	405404	5756639	http://www.sonnenschein16.de
St. Bernhard	Clemens-August-Platz 8	48147	Zentrum Nord	409890	5752308	http://www.st-bernhard-muenster.de
St. Gottfried	Düesbergweg 141	48153	Geist	404675	5754271	http://www.st-gottfried.de/index.php?id=108
St. Antonius	An den Bleichen 15	48159	Kinderhaus	404844	5756721	http://www.st-joseph-muenster-sued.de/einrichtungen/kindergaerten/antonius-kindergarten/
Emilienkindergarten	Geiststraße 60	48151	Geist	405232	5756207	http://www.st-joseph-muenster-sued.de/einrichtungen/kindergaerten/emilien-kindergarten/
Pastor-Hoeing-Kindergarten	Südstraße 70	48151	Südviertel	405788	5756339	http://www.st-joseph-muenster-sued.de/einrichtungen/kindergaerten/pastor-hoeing-kindergarten/
St. Lamberti	Kirchherrngasse 5	48143	Innenstadt	405917	5757884	http://www.st-lamberti.de/de/unsere_kindertagesstaetten/besuch_in_der_kita_st_lamberti/
St. Ludgeri	Königsstraße 26	48143	Innenstadt	405632	5757311	http://www.st-lamberti.de/de/unsere_kindertagesstaetten/besuch_in_der_kita_st_ludgeri/
Kita St. Josef Kinderhaus	Pastorsesch 17	48159	Kinderhaus	404656	5761683	http://www.st-marien-und-st-josef.de/orte-des-gemeindelebens/kita-st-josef/
Katholischer Kindergarten St. Josef Gelmer	Gelmerheide 1	48157	Gelmer	409153	5765199	http://www.st-petronilla.de/kindertageseinrichtungen/st-josef.html
Maria Himmelfahrt	Im Sundern 59	48157	Mauritz	409244	5761098	http://www.st-petronilla.de/kindertagesstaetten/st-mariae-himmelfahrt.html
St. Petronilla	Ludwig-Wolker-Straße 1	48163	Albachten	410685	5760534	http://www.st-petronilla.de/kindertagesstaetten/st-petronilla.html
An der Gartenstrasse	Gartenstraße 194	48147	Rumphorst	406419	5759473	http://www.stadt-muenster.de/jugendamt/kindertagesbetreuung/kindertageseinrichtungen.html
Evangelische Sternkindertagesstätte	Sternstraße 10	48145	Mauritz	406657	5757222	http://www.sternkita.de
Feldmäuse	Vennheideweg 51	48159	Sprakel	405388	5753138	http://www.wald-kita.de
Waldkindergarten Münster	Dyckburgstraße 228a	48155	Handorf	409427	5760334	http://www.waldkindergarten-muenster.de/
Waldorfkindergarten	Rudolf-Steiner-Weg 9	48149	Gievenbeck	402585	5758664	http://www.waldorfkindergarten-muenster.de
Isisgarten	Am Tiergarten 59	48145	Mauritz	413428	5752788	http://www.waldorfkita-isisgarten.de
Angelstrolche	Zumbuschstraße 10	48149	Kreuzviertel	412018	5751839	https://angelstrolche.habanunu.de/willkommen
Die Zwerge	Südstraße 71b	48151	Südviertel	405902	5756302	https://die-zwerge.habanunu.de/willkommen
Filou	Admiral-Spee-Straße 8	48151	Geist	407909	5758207	https://filou.habanunu.de/willkommen
K.E.K.K.I.	Maximilianstraße 6	48147	Coerde	406133	5758584	https://kekki.habanunu.de/willkommen/wir-stellen-uns-vor
Kindertraum	Langenhorster Stiege 238	48155	Wolbeck	402553	5764405	https://kitakindertraum.wordpress.com/
Kotenbeis	Tibusstraße 24	48143	Innenstadt	405639	5758207	https://kotenbeis.habanunu.de/willkommen/willkommen
Die Maulwürfe	Gasselstiege 43a	48147	Rumphorst	404387	5759028	https://maulwuerfe-muenster.habanunu.de/willkommen
Grünschleife	Carlo-Schmid-Weg 2	48149	Gievenbeck	403570	5761707	https://muensterland.asbnrw.de/
Paladu	Elsässer Straße 19	48149	Geist	405174	5755149	https://paladu.habanunu.de/willkommen-bei-paladu
