,Name,Schulart,Adresse,Stadtteil,Breitengrad,Längengrad,Klasse 1 (gesamt),Klasse 2 (gesamt),Klasse 3 (gesamt),Klasse 4 (gesamt),Klasse 5 (gesamt),Klasse 6 (gesamt),Klasse 7 (gesamt),Klasse 8 (gesamt),Klasse 9 (gesamt),Klasse 10 (gesamt),Klasse 11 (gesamt),Klasse 12 (gesamt),Klasse 13 (gesamt)
0,Albert-Schweitzer-Schule,Foerderschule,"Manfred-von-Richthofen-Straße 49, 48145 Münster",Herz-Jesu,51.95919145,7.656463881166706,0,0,6,9,21,18,24,21,18,30,0,0,0
1,Erich Kästner-Schule,Foerderschule,"Pötterhoek 45, 48145 Münster",Mauritz-Mitte,51.9736133,7.653737016012916,0,0,9,15,0,0,0,0,0,0,0,0,0
