Name	Schulart	Adresse	Stadtteil	Breitengrad	Längengrad	Klasse 1 (gesamt)
Erich-Klausener-Schule	Realschule	Bismarckallee 55, 48151 Münster	Geist	51.95204	7.60951	590
Erna-de-Vries-Realschule	Realschule	Spichernstraße 17, 48153 Münster	Geist	51.93531	7.62333	451
Fürstin-von-Gallitzin-Schule	Realschule	Manfred-von-Richthofen-Straße 46a, 48145 Münster	Mauritz	51.95710	7.65514	142
Geschwister-Scholl-Realschule	Realschule	Von-Humboldt-Straße 14, 48159 Münster	Kinderhaus	51.99837	7.60448	444
Johannes-Gutenberg-Realschule Hiltrup	Realschule	Am Klosterwald 30, 48165 Münster	Hiltrup	51.90247	7.64097	561
Realschule im Kreuzviertel	Realschule	Finkenstraße 76, 48147 Münster	Kreuzvirtel	51.97395	7.62029	613
Realschule Wolbeck	Realschule	Von-Holte-Straße 56, 48167 Münster	Wolbeck	51.91463	7.71937	554
