Name	Schulart	Adresse	Stadtteil	Breitengrad	Längengrad	Klasse 1 (gesamt)
Friedensschule	Gesamtschule	Echelmeyerstraße 19, 48163 Münster	Mecklenbeck	51.93747	7.59359	1445
Gesamtschule Münster-Mitte	Gesamtschule	Jüdefelderstraße 10, 48143 Münster	Mauritz	51.96453	7.62015	694
Mathilde-Anneke-Gesamtschule	Gesamtschule	Andreas-Hofer-Straße 30, 48145 Münster	Mitte	51.95674	7.65321	223
